Global-Mean Surface Temperature
 
Temperature Anomaly (\So\C)
Year Monthly_Mean_(GHCN4)
1966.62 -0.09
1966.71 -0.03
1966.79 -0.17
1966.88 -0.01
1966.96 -0.03
1967.04 -0.07
1967.12 -0.21
1967.21 0.05
1967.29 -0.05
1967.38 0.12
1967.46 -0.08
1967.54 0.02
1967.62 0.01
1967.71 -0.06
1967.79 0.09
1967.88 -0.05
1967.96 -0.05
1968.04 -0.25
1968.12 -0.14
1968.21 0.2
1968.29 -0.06
1968.38 -0.14
1968.46 -0.09
1968.54 -0.13
1968.62 -0.09
1968.71 -0.19
1968.79 0.09
1968.88 -0.05
1968.96 -0.15
1969.04 -0.11
1969.12 -0.18
1969.21 0.01
1969.29 0.17
1969.38 0.18
1969.46 0.03
1969.54 -0.04
1969.62 0.03
1969.71 0.08
1969.79 0.09
1969.88 0.12
1969.96 0.24
1970.04 0.08
1970.12 0.22
1970.21 0.06
1970.29 0.05
1970.38 -0.04
1970.46 -0.03
1970.54 0.01
1970.62 -0.1
1970.71 0.12
1970.79 0.03
1970.88 0.02
1970.96 -0.12
1971.04 -0.02
1971.12 -0.16
1971.21 -0.18
1971.29 -0.07
1971.38 -0.05
1971.46 -0.17
1971.54 -0.08
1971.62 -0.01
1971.71 -0.06
1971.79 -0.04
1971.88 -0.07
1971.96 -0.08
1972.04 -0.22
1972.12 -0.18
1972.21 0.02
1972.29 0
1972.38 -0.03
1972.46 0.04
1972.54 0.01
1972.62 0.16
1972.71 0.02
1972.79 0.08
1972.88 0.02
1972.96 0.18
1973.04 0.29
1973.12 0.32
1973.21 0.29
1973.29 0.27
1973.38 0.23
1973.46 0.19
1973.54 0.13
1973.62 0.05
1973.71 0.09
1973.79 0.1
1973.88 0.05
1973.96 -0.07
1974.04 -0.1
1974.12 -0.27
1974.21 -0.05
1974.29 -0.11
1974.38 -0.04
1974.46 -0.05
1974.54 -0.03
1974.62 0.11
1974.71 -0.07
1974.79 -0.05
1974.88 -0.07
1974.96 -0.08
1975.04 0.1
1975.12 0.08
1975.21 0.13
1975.29 0.04
1975.38 0.16
1975.46 -0.01
1975.54 0
1975.62 -0.17
1975.71 -0.02
1975.79 -0.11
1975.88 -0.17
1975.96 -0.17
1976.04 -0.03
1976.12 -0.06
1976.21 -0.21
1976.29 -0.07
1976.38 -0.2
1976.46 -0.12
1976.54 -0.1
1976.62 -0.12
1976.71 -0.06
1976.79 -0.24
1976.88 -0.06
1976.96 0.11
1977.04 0.18
1977.12 0.23
1977.21 0.25
1977.29 0.27
1977.38 0.33
1977.46 0.27
1977.54 0.2
1977.62 0.18
1977.71 0.02
1977.79 0.04
1977.88 0.16
1977.96 0.03
1978.04 0.07
1978.12 0.1
1978.21 0.19
1978.29 0.17
1978.38 0.09
1978.46 -0.01
1978.54 0.04
1978.62 -0.13
1978.71 0.06
1978.79 0.03
1978.88 0.14
1978.96 0.08
1979.04 0.08
1979.12 -0.1
1979.21 0.19
1979.29 0.15
1979.38 0.04
1979.46 0.14
1979.54 0.04
1979.62 0.17
1979.71 0.25
1979.79 0.26
1979.88 0.29
1979.96 0.48
1980.04 0.3
1980.12 0.4
1980.21 0.3
1980.29 0.3
1980.38 0.35
1980.46 0.21
1980.54 0.22
1980.62 0.19
1980.71 0.2
1980.79 0.13
1980.88 0.3
1980.96 0.22
1981.04 0.53
1981.12 0.43
1981.21 0.48
1981.29 0.33
1981.38 0.25
1981.46 0.29
1981.54 0.33
1981.62 0.35
1981.71 0.15
1981.79 0.12
1981.88 0.23
1981.96 0.41
1982.04 0.05
1982.12 0.16
1982.21 0.03
1982.29 0.15
1982.38 0.18
1982.46 0.06
1982.54 0.15
1982.62 0.04
1982.71 0.14
1982.79 0.13
1982.88 0.18
1982.96 0.43
1983.04 0.53
1983.12 0.43
1983.21 0.42
1983.29 0.28
1983.38 0.34
1983.46 0.23
1983.54 0.18
1983.62 0.36
1983.71 0.37
1983.79 0.17
1983.88 0.3
1983.96 0.17
1984.04 0.31
1984.12 0.14
1984.21 0.26
1984.29 0.06
1984.38 0.33
1984.46 0.02
1984.54 0.19
1984.62 0.2
1984.71 0.21
1984.79 0.14
1984.88 0.07
1984.96 -0.04
1985.04 0.22
1985.12 -0.03
1985.21 0.18
1985.29 0.12
1985.38 0.15
1985.46 0.15
1985.54 0.04
1985.62 0.17
1985.71 0.13
1985.79 0.12
1985.88 0.05
1985.96 0.14
1986.04 0.26
1986.12 0.37
1986.21 0.3
1986.29 0.22
1986.38 0.21
1986.46 0.12
1986.54 0.11
1986.62 0.16
1986.71 0.03
1986.79 0.16
1986.88 0.1
1986.96 0.13
1987.04 0.32
1987.12 0.43
1987.21 0.19
1987.29 0.25
1987.38 0.26
1987.46 0.35
1987.54 0.41
1987.62 0.25
1987.71 0.36
1987.79 0.33
1987.88 0.29
1987.96 0.46
1988.04 0.57
1988.12 0.44
1988.21 0.52
1988.29 0.43
1988.38 0.44
1988.46 0.4
1988.54 0.33
1988.62 0.39
1988.71 0.37
1988.79 0.38
1988.88 0.12
1988.96 0.29
1989.04 0.13
1989.12 0.3
1989.21 0.36
1989.29 0.29
1989.38 0.18
1989.46 0.15
1989.54 0.34
1989.62 0.33
1989.71 0.34
1989.79 0.29
1989.88 0.2
1989.96 0.37
1990.04 0.41
1990.12 0.44
1990.21 0.8
1990.29 0.57
1990.38 0.46
1990.46 0.38
1990.54 0.46
1990.62 0.34
1990.71 0.23
1990.79 0.45
1990.88 0.46
1990.96 0.41
1991.04 0.43
1991.12 0.5
1991.21 0.36
1991.29 0.51
1991.38 0.34
1991.46 0.53
1991.54 0.47
1991.62 0.39
1991.71 0.44
1991.79 0.29
1991.88 0.3
1991.96 0.32
1992.04 0.48
1992.12 0.4
1992.21 0.48
1992.29 0.27
1992.38 0.31
1992.46 0.26
1992.54 0.09
1992.62 0.08
1992.71 -0.01
1992.79 0.06
1992.88 0.03
1992.96 0.21
1993.04 0.35
1993.12 0.37
1993.21 0.36
1993.29 0.28
1993.38 0.29
1993.46 0.23
1993.54 0.25
1993.62 0.11
1993.71 0.12
1993.79 0.23
1993.88 0.04
1993.96 0.18
1994.04 0.26
1994.12 0.03
1994.21 0.29
1994.29 0.42
1994.38 0.28
1994.46 0.44
1994.54 0.3
1994.62 0.22
1994.71 0.32
1994.79 0.42
1994.88 0.44
1994.96 0.38
1995.04 0.53
1995.12 0.79
1995.21 0.47
1995.29 0.47
1995.38 0.27
1995.46 0.43
1995.54 0.45
1995.62 0.45
1995.71 0.34
1995.79 0.47
1995.88 0.44
1995.96 0.26
1996.04 0.24
1996.12 0.46
1996.21 0.33
1996.29 0.32
1996.38 0.28
1996.46 0.25
1996.54 0.37
1996.62 0.49
1996.71 0.25
1996.79 0.2
1996.88 0.39
1996.96 0.37
1997.04 0.3
1997.12 0.41
1997.21 0.52
1997.29 0.34
1997.38 0.34
1997.46 0.54
1997.54 0.33
1997.62 0.42
1997.71 0.52
1997.79 0.61
1997.88 0.64
1997.96 0.59
1998.04 0.59
1998.12 0.88
1998.21 0.63
1998.29 0.63
1998.38 0.68
1998.46 0.77
1998.54 0.66
1998.62 0.65
1998.71 0.42
1998.79 0.41
1998.88 0.43
1998.96 0.55
1999.04 0.49
1999.12 0.64
1999.21 0.32
1999.29 0.32
1999.38 0.27
1999.46 0.36
