time,TSI
1955-01-15,1360.7366
1955-02-15,1360.795
1955-03-15,1360.8119
1955-04-15,1360.7893
1955-05-15,1360.7714
1955-06-15,1360.7766
1955-07-15,1361.028
1955-08-15,1360.7094
1955-09-15,1361.0045
1955-10-15,1360.8878
1955-11-15,1360.986
1955-12-15,1361.2693
1956-01-15,1360.9841
1956-02-15,1360.5812
1956-03-15,1361.2961
1956-04-15,1361.8296
1956-05-15,1361.0901
1956-06-15,1361.3651
1956-07-15,1361.3561
1956-08-15,1361.3647
1956-09-15,1362.0768
1956-10-15,1361.8954
1956-11-15,1361.5077
1956-12-15,1361.6912
1957-01-15,1362.3287
1957-02-15,1362.16
1957-03-15,1361.8956
1957-04-15,1361.9156
1957-05-15,1362.0538
1957-06-15,1361.2302
1957-07-15,1361.7758
1957-08-15,1362.1826
1957-09-15,1361.268
1957-10-15,1361.7388
1957-11-15,1362.7936
1957-12-15,1361.9387
1958-01-15,1362.0875
1958-02-15,1362.0094
1958-03-15,1361.0325
1958-04-15,1361.8477
1958-05-15,1362.0693
1958-06-15,1362.0782
1958-07-15,1361.6823
1958-08-15,1361.9207
1958-09-15,1362.0382
1958-10-15,1361.989
1958-11-15,1362.0741
1958-12-15,1361.5366
1959-01-15,1361.3588
1959-02-15,1361.9756
1959-03-15,1361.3911
1959-04-15,1361.715
1959-05-15,1361.7426
1959-06-15,1361.5977
1959-07-15,1361.8077
1959-08-15,1361.1946
1959-09-15,1361.6395
1959-10-15,1361.5984
1959-11-15,1361.3689
1959-12-15,1361.3888
1960-01-15,1361.4828
1960-02-15,1361.5375
1960-03-15,1361.626
1960-04-15,1361.2819
1960-05-15,1361.333
1960-06-15,1361.5585
1960-07-15,1361.3417
1960-08-15,1361.3773
1960-09-15,1361.5889
1960-10-15,1361.4376
1960-11-15,1361.2288
1960-12-15,1361.3411
1961-01-15,1361.2408
1961-02-15,1361.1345
1961-03-15,1361.0443
1961-04-15,1360.927
1961-05-15,1361.0105
1961-06-15,1360.8237
1961-07-15,1360.937
1961-08-15,1361.2267
1961-09-15,1360.7797
1961-10-15,1361.0248
1961-11-15,1360.8892
1961-12-15,1360.9058
1962-01-15,1360.7594
1962-02-15,1360.6744
1962-03-15,1360.9565
1962-04-15,1360.8495
1962-05-15,1360.8364
1962-06-15,1360.9276
1962-07-15,1360.7959
1962-08-15,1360.7611
1962-09-15,1360.6355
1962-10-15,1360.8031
1962-11-15,1360.7604
